,tweet,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
0,eipagri agrikid irishrurallink duncannoneip bride_project catherineguest thehsa martinheydonfg httpstcoskgpjnakm,10,128,13.222222222222221,0,1,0,1,0.0
1,dept_transport european maritime day celebrate work ensure supply chain economy stay open ir,23,140,5.130434782608695,8,0,0,1,0.0
2,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
3,covid19 credit guarantee scheme available end june 2022 fisher could httpstcolwvhom4uzv,21,135,5.476190476190476,7,2,0,1,0.4
4,european maritime day emd2022 today celebrate ireland research vessel past learn,20,140,5.666666666666667,6,0,0,2,-0.125
5,doesnt show important work undertaken irishfarmers custodian land dont know httpstcozdnuknafnd,21,140,5.714285714285714,9,3,0,1,0.4
6,european maritime day emd2022 today celebrate ireland research vessel past learn,20,140,5.666666666666667,6,0,0,2,-0.125
7,european maritime day emd2022 today celebrate ireland research vessel past learn,20,140,5.666666666666667,6,0,0,2,-0.125
8,andsmythpr bordbia really wish id chatted earlier year,15,99,5.666666666666667,5,0,0,1,0.1
9,medium response date clear ireland still love potato lr michael hoey president httpstcoxd0ittcici,21,140,5.363636363636363,4,0,0,1,0.3
10,brilliant,5,51,9.4,0,0,0,0,0.9
11,european maritime day emd2022 today celebrate ireland research vessel past learn,20,140,5.666666666666667,6,0,0,2,-0.125
12,shellfish_ucc fascinating creature recorded week biodiversity survey native oyster bed cork,22,140,5.409090909090909,9,1,0,1,0.7
13,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
14,naturenymph great piece ellamcsweeney intensification agriculture widespread impact bee bird intensificat,17,140,7.294117647058823,5,0,0,1,0.8
15,ccwpeatlands ruralnetwork rtejr midlands103 ifamedia farmersjournal httpstcoi1wqqew97,9,131,13.666666666666666,0,0,0,0,0.0
16,worldbeeday today pollinatorplan releasing three short video basic bee two new blog,21,140,5.714285714285714,6,1,0,1,0.04545454545454545
17,dept_transport european maritime day celebrate work ensure supply chain economy stay open ir,23,140,5.130434782608695,8,0,0,1,0.0
18,6junej disgraceful disgusting way treat animal banliveexports enough inhumane cruelty,21,139,5.666666666666667,5,1,0,3,-0.6333333333333333
19,darastanley happy worldbeeday2022 folk lucky work fantastic researcher bee ecology conservation inter,21,140,5.714285714285714,6,1,0,1,0.5111111111111111
20,6junej disgraceful disgusting way treat animal banliveexports enough inhumane cruelty,21,139,5.666666666666667,5,1,0,3,-0.6333333333333333
21,european maritime day celebrate work ensure supply chain economy stay open httpstconnkfdjdboz,21,140,5.714285714285714,7,0,0,0,0.0
22,mbison22 ethicalfarmie decency moral modicum cash scramble,21,140,5.714285714285714,8,0,0,1,0.0
23,mbison22 ethicalfarmie decency moral modicum cash scramble,21,140,5.714285714285714,8,0,0,1,0.0
24,shellfish_ucc fascinating creature recorded week biodiversity survey native oyster bed cork,22,140,5.409090909090909,9,1,0,1,0.7
25,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
26,naturenymph great piece ellamcsweeney intensification agriculture widespread impact bee bird intensificat,17,140,7.294117647058823,5,0,0,1,0.8
27,ucd_forestry member dafmfunded continufor scoping site assessment natural regeneration ccf stand,20,140,6.05,6,0,0,2,0.1
28,naturenymph great piece ellamcsweeney intensification agriculture widespread impact bee bird intensificat,17,140,7.294117647058823,5,0,0,1,0.8
